,chart_week,list_position,track_id,name_x,duration_ms,release_date,album_type,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_id,name_y,popularity,followers
30,2020-11-14,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
31,2021-01-23,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
32,2021-01-30,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
33,2021-02-27,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
34,2020-06-27,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
35,2020-08-08,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
36,2020-09-05,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
37,2020-09-12,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
38,2020-09-19,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
39,2020-09-26,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
40,2020-11-07,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
41,2020-11-21,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
42,2021-03-06,5,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
43,2020-10-10,6,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
44,2020-10-17,6,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
45,2021-03-27,6,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
46,2021-04-03,6,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
47,2020-03-14,7,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
48,2020-10-03,7,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
